bigram,repetation,polarity,sentiment
n n,132,0.0,neutral
f f,93,0.0,neutral
covid cases,60,0.0,neutral
new covid,50,0.13636363636363635,positive
last hours,40,0.0,neutral
e f,29,0.0,neutral
reports new,27,0.13636363636363635,positive
f n,26,0.0,neutral
cases recoveries,26,0.0,neutral
n covid,25,0.0,neutral
new cases,24,0.13636363636363635,positive
india reports,24,0.0,neutral
f e,24,0.0,neutral
covid vaccine,23,0.0,neutral
covid vaccination,21,0.0,neutral
deaths last,19,0.0,neutral
vaccine doses,17,0.0,neutral
c f,17,0.0,neutral
union health,17,0.0,neutral
hours per,15,0.0,neutral
recoveries deaths,13,0.0,neutral
n f,13,0.0,neutral
hours n,12,0.0,neutral
cases deaths,12,0.0,neutral
f c,11,0.0,neutral
per union,11,0.0,neutral
today n,10,0.0,neutral
free n,10,0.4,positive
n npincode,10,0.0,neutral
dose slots,10,0.0,neutral
slots n,10,0.0,neutral
n nage,10,0.0,neutral
recoveries last,10,0.0,neutral
health ministry,10,0.0,neutral
cases reported,10,0.0,neutral
third wave,9,0.0,neutral
stay safe,9,0.5,positive
covid n,9,0.0,neutral
n new,9,0.13636363636363635,positive
cases last,9,0.0,neutral
india n,9,0.0,neutral
covid pandemic,9,0.0,neutral
wear mask,9,0.0,neutral
n na,9,0.0,neutral
covid update,9,0.0,neutral
cuttack city,9,0.0,neutral
reports fresh,9,0.3,positive
n sep,8,0.0,neutral
fresh covid,8,0.3,positive
day covid,8,0.0,neutral
n e,8,0.0,neutral
crore covid,8,0.0,neutral
doses administered,8,0.0,neutral
cr covid,8,0.0,neutral
covid vaccines,8,0.0,neutral
available n,8,0.4,positive
states uts,7,0.0,neutral
report india,7,0.0,neutral
india abc,7,0.0,neutral
abc live,7,0.13636363636363635,positive
live india,7,0.13636363636363635,positive
area n,7,0.0,neutral
fight corona,7,0.0,neutral
corona vr,7,0.0,neutral
vr available,7,0.4,positive
n ue,7,0.0,neutral
ue unrealengine,7,0.0,neutral
unrealengine indiedev,7,0.0,neutral
indiedev gamer,7,0.0,neutral
gamer indiegamedev,7,0.0,neutral
indiegamedev indiegames,7,0.0,neutral
safe n,6,0.5,positive
vaccination drive,6,0.0,neutral
n mask,6,0.0,neutral
chairs high,6,0.16,positive
high level,6,0.16,positive
level meet,6,0.0,neutral
meet states,6,0.0,neutral
uts public,6,0.0,neutral
public health,6,0.0,neutral
health response,6,0.0,neutral
response covid,6,0.0,neutral
reported new,6,0.13636363636363635,positive
th september,6,0.0,neutral
positive covid,6,0.22727272727272727,positive
crore vaccination,6,0.0,neutral
mask n,6,0.0,neutral
first dose,6,0.25,positive
kerala reports,6,0.0,neutral
covid infections,6,0.0,neutral
infections recoveries,6,0.0,neutral
deaths today,6,0.0,neutral
fight covid,6,0.0,neutral
study n,6,0.0,neutral
active cases,6,-0.13333333333333333,negative
new record,5,0.13636363636363635,positive
cabinet secretary,5,0.0,neutral
sep n,5,0.0,neutral
per cent,5,0.0,neutral
n nactive,5,0.0,neutral
nactive cases,5,0.0,neutral
total cases,5,0.0,neutral
cases n,5,0.0,neutral
happy birthday,5,0.8,positive
india reported,5,0.0,neutral
covid india,5,0.0,neutral
npincode ncovishield,5,0.0,neutral
ncovishield dose,5,0.0,neutral
npincode ncova,5,0.0,neutral
ncova n,5,0.0,neutral
n dose,5,0.0,neutral
nage ages,5,0.0,neutral
delhi reports,5,0.0,neutral
india covid,5,0.0,neutral
day n,5,0.0,neutral
deaths new,4,0.13636363636363635,positive
covid day,4,0.0,neutral
n total,4,0.0,neutral
single day,4,-0.07142857142857142,negative
india set,4,0.0,neutral
covid report,4,0.0,neutral
recoveries amp,4,0.0,neutral
amp deaths,4,0.0,neutral
india administers,4,0.0,neutral
administers crore,4,0.0,neutral
doses day,4,0.0,neutral
update n,4,0.0,neutral
mask wearing,4,0.0,neutral
deaths n,4,0.0,neutral
mask f,4,0.0,neutral
india crosses,4,0.0,neutral
crosses landmark,4,0.0,neutral
landmark cr,4,0.0,neutral
vaccination pm,4,0.0,neutral
pm set,4,0.0,neutral
set cross,4,0.0,neutral
cross cr,4,0.0,neutral
cr day,4,0.0,neutral
day mark,4,0.0,neutral
mark special,4,0.35714285714285715,positive
special drive,4,0.35714285714285715,positive
wave n,4,0.0,neutral
ministry n,4,0.0,neutral
n crore,4,0.0,neutral
n india,4,0.0,neutral
second dose,4,0.0,neutral
logs new,4,0.13636363636363635,positive
update cuttack,4,0.0,neutral
city cmc,4,0.0,neutral
cmc area,4,0.0,neutral
reported today,4,0.0,neutral
today cuttack,4,0.0,neutral
city n,4,0.0,neutral
pregnant women,4,0.3333333333333333,positive
icmr study,4,0.0,neutral
positive cases,4,0.22727272727272727,positive
n wearamask,4,0.0,neutral
cases covid,4,0.0,neutral
face masks,4,0.0,neutral
till pm,4,0.0,neutral
healthcare workers,4,0.0,neutral
fresh cases,4,0.3,positive
administered far,4,0.1,positive
administered crore,4,0.0,neutral
n c,3,0.0,neutral
tamilnadu covid,3,0.0,neutral
day wise,3,0.7,positive
cases details,3,0.0,neutral
details n,3,0.0,neutral
record today,3,0.0,neutral
doses already,3,0.0,neutral
vaccination report,3,0.0,neutral
gentle reminder,3,0.2,positive
update newly,3,0.13636363636363635,positive
newly detected,3,0.13636363636363635,positive
detected covid,3,0.0,neutral
last n,3,0.0,neutral
n hrs,3,0.0,neutral
hrs bmc,3,0.0,neutral
bmc area,3,0.0,neutral
n th,3,0.0,neutral
september till,3,0.0,neutral
positivity rate,3,0.0,neutral
india records,3,0.0,neutral
records new,3,0.13636363636363635,positive
world record,3,0.0,neutral
covid vaccinations,3,0.0,neutral
indiablooms first,3,0.25,positive
covid vaccinationdrive,3,0.0,neutral
super proud,3,0.5666666666666667,positive
proud hear,3,0.8,positive
hear tell,3,0.0,neutral
tell incredible,3,0.9,positive
incredible story,3,0.9,positive
story colleague,3,0.0,neutral
colleague emmanuel,3,0.0,neutral
emmanuel vanoli,3,0.0,neutral
vanoli used,3,0.0,neutral
used fluid,3,0.0,neutral
fluid simulation,3,0.0,neutral
best way,3,1.0,positive
safe covid,3,0.5,positive
rajiv gauba,3,0.0,neutral
gauba chairs,3,0.0,neutral
many countries,3,0.5,positive
reports deaths,3,0.0,neutral
test positive,3,0.22727272727272727,positive
covid tamil,3,0.0,neutral
tamil nadu,3,0.0,neutral
n corona,3,0.0,neutral
tested positive,3,0.22727272727272727,positive
day f,3,0.0,neutral
e erts,3,0.0,neutral
sir help,3,0.0,neutral
help us,3,0.0,neutral
us contribute,3,0.0,neutral
contribute economy,3,0.0,neutral
economy boost,3,0.0,neutral
boost future,3,0.0,neutral
future talented,3,0.35,positive
talented engineer,3,0.7,positive
engineer whole,3,0.2,positive
whole year,3,0.2,positive
covid live,3,0.13636363636363635,positive
live updates,3,0.13636363636363635,positive
updates india,3,0.0,neutral
death toll,3,0.0,neutral
health minister,3,0.0,neutral
may infect,3,0.0,neutral
infect higher,3,0.25,positive
higher proportion,3,0.25,positive
cases detected,3,0.0,neutral
today vaccination,3,0.0,neutral
today india,3,0.0,neutral
results received,3,0.0,neutral
received new,3,0.13636363636363635,positive
covid detected,3,0.0,neutral
detected nagaland,3,0.0,neutral
million covid,3,0.0,neutral
wearamask f,3,0.0,neutral
th sep,3,0.0,neutral
sep summary,3,0.0,neutral
summary bengaluru,3,0.0,neutral
bengaluru covid,3,0.0,neutral
covid per,3,0.0,neutral
per n,3,0.0,neutral
n ntests,3,0.0,neutral
ntests c,3,0.0,neutral
f ndaily,3,0.0,neutral
ndaily positive,3,0.22727272727272727,positive
positive c,3,0.22727272727272727,positive
f ndeaths,3,0.0,neutral
mild covid,3,0.3333333333333333,positive
india f,3,0.0,neutral
n ntotal,3,0.0,neutral
adult population,3,0.1,positive
india logs,3,0.0,neutral
covid third,3,0.0,neutral
far today,3,0.1,positive
fully vaccinated,3,0.0,neutral
coronavirusupdates india,3,0.0,neutral
biharfightscorona nupdate,3,0.0,neutral
nupdate day,3,0.0,neutral
f covid,3,0.0,neutral
reported far,3,0.1,positive
far th,3,0.1,positive
wave covid,3,0.0,neutral
vaccination camp,2,0.0,neutral
c e,2,0.0,neutral
pm ji,2,0.0,neutral
zero deaths,2,0.0,neutral
f cabinet,2,0.0,neutral
wise discharged,2,0.7,positive
discharged cases,2,0.0,neutral
total discharged,2,0.0,neutral
discharged n,2,0.0,neutral
secretary chairs,2,0.0,neutral
vaccine today,2,0.0,neutral
september th,2,0.0,neutral
mumbai bmc,2,0.0,neutral
may developed,2,0.1,positive
make sure,2,0.5,positive
necessary precautions,2,0.0,neutral
india sets,2,0.0,neutral
sets new,2,0.13636363636363635,positive
new single,2,0.032467532467532464,positive
n cowin,2,0.0,neutral
set new,2,0.13636363636363635,positive
vaccination record,2,0.0,neutral
cr doses,2,0.0,neutral
new coin,2,0.13636363636363635,positive
proud moment,2,0.8,positive
cr vaccination,2,0.0,neutral
many people,2,0.5,positive
latest covid,2,0.5,positive
thousands times,2,0.0,neutral
covid assamcovidupdate,2,0.0,neutral
times covid,2,0.0,neutral
become important,2,0.4,positive
stay home,2,0.0,neutral
proud movement,2,0.8,positive
movement citizens,2,0.0,neutral
citizens belagavi,2,0.0,neutral
belagavi nthanks,2,0.0,neutral
vaccinations day,2,0.0,neutral
first portal,2,0.25,positive
portal digital,2,0.0,neutral
digital news,2,0.0,neutral
covid covid,2,0.0,neutral
setting new,2,0.13636363636363635,positive
prime minister,2,0.0,neutral
september n,2,0.0,neutral
secretary rajiv,2,0.0,neutral
covid prog,2,0.0,neutral
cowin dashboard,2,0.0,neutral
india far,2,0.1,positive
loved ones,2,0.7,positive
