unigram,repetation,polarity,sentiment
n,464,0.0,neutral
covid,348,0.0,neutral
f,224,0.0,neutral
india,135,0.0,neutral
cases,118,0.0,neutral
new,116,0.13636363636363635,positive
e,60,0.0,neutral
vaccination,50,0.0,neutral
last,49,0.0,neutral
today,45,0.0,neutral
hours,44,0.0,neutral
day,43,0.0,neutral
vaccine,42,0.0,neutral
deaths,41,0.0,neutral
reports,41,0.0,neutral
amp,41,0.0,neutral
health,38,0.0,neutral
mask,37,0.0,neutral
crore,37,0.0,neutral
recoveries,33,0.0,neutral
first,32,0.25,positive
c,28,0.0,neutral
people,28,0.0,neutral
doses,28,0.0,neutral
dose,27,0.0,neutral
pandemic,26,0.0,neutral
safe,24,0.5,positive
world,23,0.0,neutral
th,23,0.0,neutral
per,23,0.0,neutral
cr,21,0.0,neutral
one,20,0.0,neutral
reported,20,0.0,neutral
free,20,0.4,positive
far,20,0.1,positive
birthday,18,0.0,neutral
available,18,0.4,positive
union,18,0.0,neutral
pm,17,0.0,neutral
record,17,0.0,neutral
stay,17,0.0,neutral
many,17,0.5,positive
corona,17,0.0,neutral
fresh,16,0.3,positive
administered,16,0.0,neutral
positive,16,0.22727272727272727,positive
wave,15,0.0,neutral
september,15,0.0,neutral
live,15,0.13636363636363635,positive
update,15,0.0,neutral
vaccines,15,0.0,neutral
fight,15,0.0,neutral
vaccinated,14,0.0,neutral
proud,14,0.8,positive
coronavirus,13,0.0,neutral
total,13,0.0,neutral
sep,13,0.0,neutral
study,13,0.0,neutral
high,12,0.16,positive
kerala,12,0.0,neutral
population,12,0.0,neutral
till,12,0.0,neutral
time,12,0.0,neutral
year,12,0.0,neutral
still,12,0.0,neutral
drive,11,0.0,neutral
wear,11,0.0,neutral
us,11,0.0,neutral
two,11,0.0,neutral
happy,11,0.8,positive
done,11,0.0,neutral
ministry,11,0.0,neutral
third,10,0.0,neutral
best,10,1.0,positive
mumbai,10,0.0,neutral
may,10,0.0,neutral
children,10,0.0,neutral
news,10,0.0,neutral
govt,10,0.0,neutral
npincode,10,0.0,neutral
slots,10,0.0,neutral
nage,10,0.0,neutral
help,10,0.0,neutral
wearamask,10,0.0,neutral
million,10,0.0,neutral
na,10,0.0,neutral
death,10,0.0,neutral
city,10,0.0,neutral
face,10,0.0,neutral
ji,9,0.0,neutral
great,9,0.8,positive
latest,9,0.5,positive
set,9,0.0,neutral
detected,9,0.0,neutral
important,9,0.4,positive
countries,9,0.0,neutral
need,9,0.0,neutral
cuttack,9,0.0,neutral
active,9,-0.13333333333333333,negative
infections,8,0.0,neutral
level,8,0.0,neutral
states,8,0.0,neutral
public,8,0.0,neutral
make,8,0.0,neutral
report,8,0.0,neutral
masks,8,0.0,neutral
area,8,0.0,neutral
around,8,0.0,neutral
country,8,0.0,neutral
times,8,0.0,neutral
social,8,0.03333333333333333,positive
right,8,0.2857142857142857,positive
minister,8,0.0,neutral
special,8,0.35714285714285715,positive
higher,8,0.25,positive
every,8,0.0,neutral
good,8,0.7,positive
future,7,0.0,neutral
discharged,7,0.0,neutral
secretary,7,0.0,neutral
uts,7,0.0,neutral
made,7,0.0,neutral
already,7,0.0,neutral
abc,7,0.0,neutral
know,7,0.0,neutral
women,7,0.0,neutral
hrs,7,0.0,neutral
vaccinations,7,0.0,neutral
vaccinationdrive,7,0.0,neutral
maskup,7,0.0,neutral
covidvaccine,7,0.0,neutral
go,7,0.0,neutral
across,7,0.0,neutral
school,7,0.0,neutral
vr,7,0.0,neutral
ue,7,0.0,neutral
unrealengine,7,0.0,neutral
indiedev,7,0.0,neutral
gamer,7,0.0,neutral
indiegamedev,7,0.0,neutral
indiegames,7,0.0,neutral
received,7,0.0,neutral
huge,7,0.4000000000000001,positive
taking,7,0.0,neutral
numbers,6,0.0,neutral
love,6,0.5,positive
assam,6,0.0,neutral
going,6,0.0,neutral
always,6,0.0,neutral
chairs,6,0.0,neutral
meet,6,0.0,neutral
response,6,0.0,neutral
thanks,6,0.2,positive
cowin,6,0.0,neutral
travel,6,0.0,neutral
rate,6,0.0,neutral
citizens,6,0.0,neutral
used,6,0.0,neutral
says,6,0.0,neutral
online,6,0.0,neutral
virus,6,0.0,neutral
students,6,0.0,neutral
updates,6,0.0,neutral
